Candidate,Party,Date,GEO_code,Year,hits.candidate,hits.party,indicador
'Gutiérrez','PSP',2020-11-22 2021-05-21,EC,2021,1055,990,0.515892420537897
'Almeida','EU',2020-11-22 2021-05-21,EC,2021,1420,1246,0.532633158289572
'Peña','PAIS',2020-11-22 2021-05-21,EC,2021,781,1510,0.340899170667831
'Celi','SUMA',2020-11-22 2021-05-21,EC,2021,1132,1575,0.418175101588474
'Velasco','Construye',2020-11-22 2021-05-21,EC,2021,1143,879,0.565281899109792
'Montúfar','Alianza Honestidad',2020-11-22 2021-05-21,EC,2021,648,815,0.442925495557074
'Larrea','Democracia SI',2020-11-22 2021-05-21,EC,2021,1711,1341,0.560615989515072
'Sagnay','Fuerza EC',2020-11-22 2021-05-21,EC,2021,825,0,1
'Andrade','Unión Ecuatoriana',2020-11-22 2021-05-21,EC,2021,1464,807,0.644649933949802
'Carrasco','Juntos Podemos',2020-11-22 2021-05-21,EC,2021,1196,556,0.682648401826484
'Moreno','Alianza PAIS',2016-11-25 2017-05-24,EC,2017,1624,1233,0.568428421421071
'Lasso','CREO',2016-11-25 2017-05-24,EC,2017,898,510,0.637784090909091
'Viteri','PSC',2016-11-25 2017-05-24,EC,2017,1442,1441,0.500173430454388
'Moncayo','ANC',2016-11-25 2017-05-24,EC,2017,1396,1139,0.55069033530572
'Bucaram','Fuerza EC',2016-11-25 2017-05-24,EC,2017,875,0,1
'Espinel','FCS',2016-11-25 2017-05-24,EC,2017,1474,856,0.632618025751073
'Zuquilanda','PSP',2016-11-25 2017-05-24,EC,2017,1492,1473,0.503204047217538
'Pesantez','UE',2016-11-25 2017-05-24,EC,2017,942,889,0.514472965592572
'Correa','Alianza PAIS',2012-08-21 2013-02-17,EC,2013,1586,1191,0.571119913575801
'Lasso','CREO',2012-08-21 2013-02-17,EC,2013,855,811,0.513205282112845
'Gutiérrez','PSP',2012-08-21 2013-02-17,EC,2013,1270,1161,0.522418757712875
'Rodas','SUMA',2012-08-21 2013-02-17,EC,2013,817,1491,0.353986135181976
'Noboa','PRIAN',2012-08-21 2013-02-17,EC,2013,1268,1498,0.458423716558207
'Acosta','UPI',2012-08-21 2013-02-17,EC,2013,1343,1057,0.559583333333333
'Wray','Ruptura 25',2012-08-21 2013-02-17,EC,2013,760,1284,0.371819960861057
